"Andy Wachowski","The Matrix Reloaded"
"Andy Wachowski","The Matrix Revolutions"
"Andy Wachowski","Cloud Atlas"
"Andy Wachowski","Speed Racer"
"Lana Wachowski","The Matrix Reloaded"
"Lana Wachowski","The Matrix Revolutions"
"Lana Wachowski","Cloud Atlas"
"Lana Wachowski","Speed Racer"
"James Marshall","V for Vendetta"
"James Marshall","Ninja Assassin"
"Cameron Crowe","Jerry Maguire"
"Werner Herzog",RescueDawn
"Howard Deutch","The Replacements"
"Mike Nichols","Charlie Wilson's War"
"Tom Tykwer","Cloud Atlas"
"Ron Howard","The Da Vinci Code"
"Ron Howard",Frost/Nixon
"Robert Zemeckis","Cast Away"
"Robert Zemeckis","The Polar Express"
